"city","state"
"Ridgefield","WA"
"Beaverton-Aloha","OR"
"Delta","BC"
"Concord","MA"
"Clackamas","OR"
"Miami Beach","FL"
"Lynnfield","MA"
"Clarkston","GA"
"East Point","GA"
"WINTER SPRINGS","FL"
"Columbus ","OH"
"NW Atlanta","GA"
"Hunters Creek","FL"
"Chelsea","MA"
"east boston","MA"
"Marlborough","MA"
"Danvers","MA"
"Grove City","OH"
"Dedham ","MA"
"ATLANTA","GA"
"East Weymouth","MA"
"Provincetown","MA"
"North Reading","MA"
"cambridge","MA"
"orlando","FL"
"EAST  Boston","MA"
"Kenansville","FL"
"Port St John","FL"
"Franklin","MA"
"Clintonville","OH"
"Celebration","FL"
"Surrey","BC"
"Cambridge","MA"
"Watertowm","MA"
"Mattapan","MA"
"Billerica","MA"
"Austin.","TX"
"East Boston","MA"
"Stoneham","MA"
"Bowen Island","BC"
"Port coquitlam","BC"
"Castle Rock","WA"
"Gahanna","OH"
"Pflugerville","TX"
"South Natick","MA"
"Newton Corner","MA"
"New Albany","OH"
"Greater Vancouver Regional District","BC"
"Roslindale","MA"
"Grandview Heights","OH"
"Boston-Fenway","MA"
"Grove Port","OH"
"El Cerrito","TX"
"NORTH VANCOUVER","BC"
"portland","OR"
"Needham","MA"
"Malden","MA"
"Hanscom AFB","MA"
"Vancover","WA"
"San Marcos","TX"
"Orlando Fl","FL"
"Watertown","MA"
"Wekiva Springs","FL"
"Lake Mary","FL"
"Titusville","FL"
"Galloway","OH"
"reading","MA"
"Readville","MA"
"West Jefferson","OH"
"Vancouver BC","BC"
"Dunwoody","GA"
"PORTLAND AP","OR"
"Happy Valley","OR"
"Lousville","CO"
"Avon","MA"
"apopka","FL"
"EVERETT","MA"
"Lago Vista","TX"
"Tewksbury","MA"
"Collegepark","GA"
"Drippings Springs","TX"
"Marshfield","MA"
"Lake Owego","OR"
"Apopka","FL"
"Hingham","MA"
"Wellesley,","MA"
"Decatur","GA"
"kissimmee","FL"
"Mableton","GA"
"Richmond","BC"
"Lake Travis","TX"
"Hilliard","OH"
"Stoughon","MA"
"VANCOUVER","BC"
"Auatin","TX"
"Altamonte Springs ","FL"
"Boston College","MA"
"DAVENPORT","FL"
"Maitland","FL"
"Gainesville","FL"
"ALTAMONTE SPRINGS","FL"
"Orange","OH"
"Pine Lake","GA"
